what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818513924
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1351818515910
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818523796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818714732
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.edit.text.openLocalFile",1351818714885
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1351818724011
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1351818728200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818731541
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818732860
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1351818732908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818734954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818736146
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1351818736176
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818736874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818743278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818744705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818745934
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1351818745982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818750485
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818773200
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1351818773220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1351818773220
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818806901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818809568
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1351818809592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818810674
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818811741
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1351818811750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351818813119
